"","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","Gamma","log10T90Err","log10FluenceErr","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr","Class"
"76",2.346,1.5705429398819,-5.657577319,0.595496222,1.51,21.97057233,-10.51999306,3.91123,1.22299,1.06,2.06584,0.0827679937558025,0.0325421760411363,0.0460949380699723,0.121212121212121,0.048150000000001,0.04637,0.019155,0.0547943805,"0"
"77",0.5465,0.146128035678238,-5.93930216,1.079181246,1.39,21.27394758,-11.69464863,4.20075,1.09586,0.89,2.0589,0.0635863098514522,0.00801070191251132,0.00855428525054755,0.036363636363636,0.063000000000001,0.085085,0.05576,0.005,"0"
"78",4.41,1.05307844348342,-6.171984936,0.130333768,1.74,22.49782636,-10.9636,2.78682,1.1892,0.81,2.01015,0.0421049044083316,0.018772691379267,0.035094503628142,0.072727272727273,0.1982,0.23477,0.18005,0.045,"1"
"79",1.5026,1.45331834004704,-5.63638802,0.227886705,1.46,21.45692297,-10.55284197,3.3865,0.897152,0.87,2.02719,0.150287880726656,0.0116222057308489,0.0327064160367775,0.048484848484849,0.05675,0.075085,0.0205255,0.015,"0"
"80",4.9,2.43964842956347,-5.390405591,-0.244125144,1.78,22.00215742,-12.2656,4.43617,1.00735,1.38,2.1317,0.0335971370177898,0.0113820011696242,0.0507946762076895,0.048484848484849,0.2206,0.31628,0.2313695,0.03,"1"
"81",3.0749,2.00945089579869,-5.59345982,0.146128036,1.47,21.79614607,-11.02273379,4.37412,1.97901,0.564,1.61002,0.132029607628615,0.0115605423699981,0.0244408149807766,0.048484848484849,0.076099999999999,0.02584,0.18005,0.0120771535,"1"
"82",0.703,2.23426412437879,-5.790484985,0.387389826,1.64,21.59122827,-11.11633856,3.87074,1.36265,1.58,2.18877,0.0287243616501434,0.0232338611473106,0.0226532144239483,0.084848484848485,0.08665,0.081295,0.04215,0.136141492,"0"
"83",0.937,0.698970004336019,-5.869666232,0.933487288,1.74,21.36738202,-10.1079054,2.455171016,1.045731532,0.63,1.8948,0.050378159861502,0.0120881068052489,0.0134978859907368,0.054545454545455,0.147419953,0.156564864,0.0289377855,0.0785,"0"
"84",0.7578,1.60959440922522,-5.974694135,-0.27572413,1.67,22.56660835,-8.33235,2.24983,2.26312734,1.98,1.82722,0.0429439501560867,0.0188715726956945,0.0595944400005547,0.072727272727273,0.2103,0.03335,0.01565,0.0015,"0"
"85",2.088,1.85369821177617,-5.097453221,0.930949031,1.35,22.56660835,-9.954677021,3.92091,1.35061,0.86,1.92748,0.0973208923032497,0.00520487944706068,0.00802277632160302,0.024242424242424,0.02311,0.024435,0.018075,0.005,"0"
"86",0.923,1.80617997398389,-6.142667504,0.431363764,1.36,21.64321572,-10.74232143,3.22974,1.64623,0.93,2.07429,0.0570608478015689,0.0329010971465546,0.0194969464449939,0.115151515151515,0.09935,0.0946,0.108425,0.005,"0"
"87",3.626,2.53147891704225,-5.443697499,0.176091259,1.34,21.89473409,-10.50863831,3.94739,2.5054,0.52,1.52512,0.02723308288672,0.0146227098205568,0.0526417553889616,0.066666666666667,0.3648,0.10084,0.09144,0.01,"1"
"88",2.17,1.04139268515822,-6.161150909,0.278753601,2.04,21.93100401,-10.77728353,3.36583,1.36994,1.02,2.17076,0.197037086504463,0.0228877197175498,0.0277061870402603,0.084848484848485,0.06175,0.07187,0.077915,0.01,"0"
"89",0.937,1.69897000433602,-4.091514981,1.394451681,1.04,20.8771334,-12.15181088,5.36799912,1.42250979,0.73,1.81426,0.00155572021085996,0.0032494910720681,0.00530662856463182,0.012121212121212,0.097779455,0.087626454,0.075139905,0.6,"0"
"90",1.95,1.53147891704226,-5.443697499,0.716003344,1.37,21.75037415,-8.91721463,3.19029,1.45203,1.94,1.61029,0.11349174293427,0.00731135491027843,0.0151851217320997,0.042424242424242,0.05004,0.04713,0.02854,0.199995173,"0"
"91",2.374,2.10720996964787,-5.744727495,-0.301029996,1.78,22.33533151,-10.11125904,3.67820615,1.36946226,0.375,1.86248,0.0951998385488903,0.0292454196637412,0.0526417554229422,0.090909090909091,0.03236457,0.038825489,0.0333017515,0.00558525,"0"
"92",0.6887,1.77815125038364,-5.397940009,0.431363764,1.17,21.7431239,-10.75269955,3.60698,0.998947,0.83,1.88453,0.045788373456409,0.00658021942774567,0.0194969464449939,0.127272727272727,0.0592,0.073495,0.0260505,0.01,"0"
"93",3.038,2.41497334797082,-5.431798276,-0.301029996,1.25,20.90308999,-11.3994,4.75426,2.20023,0.945,2.51,0.0544346314310819,0.0142275014568467,0.0526417554229422,0.23030303030303,0.057200000000001,0.03025,0.054715,5e-04,"1"
"94",2.1,2.46834733041216,-5.113509275,0.462397998,1.54,21.66176916,-10.9243983,4.02089,1.86904,0.82,2.03508,0.122562443756652,0.0102548874161921,0.0181523294379188,0.036363636363636,0.05695,0.03932,0.064395,0.0325,"0"
"95",1.608,1.7481880270062,-5.337242168,0.278753601,1.48,22.02365981,-10.04720756,3.52813657,1.52909667,0.98,2.03408,0.0320230997075472,0.0114438598573077,0.0415592805603905,0.042424242424242,0.028659405,0.030759021,0.0421545135,0.003531332,"0"
"96",4.109,2.32221929473392,-5.045757491,0.204119983,1.84,21.19589965,-11.27490548,4.33113504,1.76098314,0.502,2.09,0.13235641353242,0.0175472518118213,0.0329010970878163,0.066666666666667,0.03779605,0.029715315,0.0533515885,0.4790870845,"1"
"97",3.076,1.68124123737559,-5.795880017,0.113943352,1.31,21.89596701,-11.14630179,3.37933883,1.06152816,0.89,1.96352,0.151171637016717,0.0329010970878164,0.0809873160298532,0.151515151515152,0.05941034,0.074268877,0.0337195715,0.03,"1"
"98",1.063,1.17318626841227,-5.48148606,1.181843588,1.74,21.91211094,-10.18045606,3.31388094,1.1606541,0.86,2.03333,0.084460753389473,0.0159520470810336,0.0173163668998415,0.066666666666667,0.036806415,0.052928177,0.030502454,0.034663611,"0"
"99",4.6667,1.27415784926368,-6.431798276,-0.397940009,1.34,21.9953293260505,-12.13548892,4.7218991,1.81152426,0.46,1.58721,0.153567256519102,0.0426825043705403,0.0658021942774571,0.151515151515152,0.326395625,0.103773463,0.11299,0.005,"1"
"100",1.18,0.57978359661681,-6.698970004,0.113943352,2.23,21.41315218,-11.1481304,3.5543767,1.36246063,1.08,2.23535,0.0508837165997665,0.0263208776707414,0.0202468290074635,0.109090909090909,0.10431242,0.207348761,0.13322096,0.02,"0"
"101",1.755,1.56820172406699,-6.327902142,0.146128036,2.42,20.53466438,-11.50168945,3.60199415,0.86819371,1.46,2.17077,0.0442926372645721,0.0504016806776366,0.0376012538165791,0.193939393939394,0.070859065000001,0.115125536,0.0550768945,0.035,"0"
"102",4.772,1.92427928606188,-5.853871964,-0.22184875,1.62,22.05240534,-11.57186521,3.74522911,0.96306136,1.36,2.25722,0.0768849139149974,0.0188006269082896,0.0438681295239291,0.084848484848485,0.09817689,0.128616618,0.0615694365,0.025,"1"
"103",0.542,1.80345711564841,-4.677780705,1.10720997,1.9,22.28454803,-9.804100348,3.64164386,0.94079321,0.27,2.3024,0.0114965181773217,0.0125337512945695,0.00616895570385114,0.018181818181818,0.041282476499999,0.060455075,0.024177265,0.1506797915,"0"
"104",0.452,-0.481486060122112,-6.638272164,0.414973348,0.9,20.33244048,-10.87942607,2.43862257,1.84657968,1.08,2.40449,0.0394813165366593,0.0228877197323238,0.0202468289917981,0.060606060606061,0.36164147,0.239414064,0.242981501,0.175,"0"
"105",3.6,2.29556709996248,-5.22184875,0.633468456,1.73,21.52730245,-10.35163999,3.62503495,1.01294211,1.29,2.11575,0.0511462885111969,0.00877362590478576,0.0122422686816868,0.036363636363636,0.04763446,0.053639373,0.0181399595,0.01,"1"
"106",1.288,0.146128035678238,-6.795880017,0.278753601,1.92,21.01720452,-10.67778071,2.86502502,1.11237691,0.83,1.94442,0.0483291324172893,0.0329010970878163,0.0277061870402603,0.127272727272727,0.14742817,0.168928757,0.0650028685,0.05,"0"
